weightKg,destinationZipCode,shipmentDate,declaredValue
44.4,33333,2026-02-19T08:00:00,630
29.9,44444,2026-02-19T15:00:00,0
30.6,12345,2026-02-19T06:00:00,158
46.6,44444,2026-02-19T17:00:00,368
13.8,90210,2026-02-19T15:00:00,845
49.4,90210,2026-02-19T09:00:00,687
33.3,77001,2026-02-19T13:00:00,0
14.7,90210,2026-02-19T16:00:00,0
37,90210,2026-02-19T06:00:00,474
15.4,44444,2026-02-19T10:00:00,0
10.9,90210,2026-02-19T10:00:00,0
33.2,55555,2026-02-19T07:00:00,0
23.6,90210,2026-02-19T18:00:00,611
38.7,55555,2026-02-19T09:00:00,655
15.1,12345,2026-02-19T07:00:00,504
8.9,33333,2026-02-19T09:00:00,0
36.6,12345,2026-02-19T11:00:00,186
38.1,77001,2026-02-19T08:00:00,0
20.3,55555,2026-02-19T18:00:00,548
3.3,44444,2026-02-19T14:00:00,0
24.4,77001,2026-02-19T11:00:00,480
20.1,77001,2026-02-19T10:00:00,0
35.9,12345,2026-02-19T06:00:00,0
12.2,90210,2026-02-19T16:00:00,656
44.9,10001,2026-02-19T17:00:00,718
42.2,67890,2026-02-19T15:00:00,0
40.4,12345,2026-02-19T18:00:00,975
29,90210,2026-02-19T13:00:00,690
19.6,22222,2026-02-19T09:00:00,0
28.9,10001,2026-02-19T14:00:00,3
20.3,67890,2026-02-19T16:00:00,906
8.2,11111,2026-02-19T10:00:00,0
48,10001,2026-02-19T07:00:00,0
19.9,67890,2026-02-19T17:00:00,0
13.9,12345,2026-02-19T17:00:00,800
1.9,67890,2026-02-19T11:00:00,0
23.2,12345,2026-02-19T09:00:00,0
36.3,77001,2026-02-19T07:00:00,339
41.9,10001,2026-02-19T15:00:00,82
3.2,44444,2026-02-19T16:00:00,822
23.9,12345,2026-02-19T09:00:00,0
37.6,77001,2026-02-19T17:00:00,276
23.7,10001,2026-02-19T08:00:00,364
47.2,90210,2026-02-19T15:00:00,0
8.3,33333,2026-02-19T18:00:00,0
47.4,55555,2026-02-19T18:00:00,0
6.1,55555,2026-02-19T18:00:00,0
32.2,77001,2026-02-19T16:00:00,877
50.7,12345,2026-02-19T08:00:00,0
18.9,44444,2026-02-19T06:00:00,95
45.9,12345,2026-02-19T18:00:00,447
43.3,10001,2026-02-19T09:00:00,0
3,44444,2026-02-19T16:00:00,790
37.8,55555,2026-02-19T16:00:00,0
21.1,12345,2026-02-19T17:00:00,0
40.3,55555,2026-02-19T16:00:00,0
5.7,90210,2026-02-19T13:00:00,0
42.9,55555,2026-02-19T17:00:00,0
1.2,55555,2026-02-19T10:00:00,922
40,77001,2026-02-19T17:00:00,322
28.9,55555,2026-02-19T18:00:00,917
49.4,44444,2026-02-19T07:00:00,0
50.1,44444,2026-02-19T10:00:00,0
15.5,22222,2026-02-19T15:00:00,0
11.7,10001,2026-02-19T18:00:00,0
50.3,67890,2026-02-19T14:00:00,521
5.2,44444,2026-02-19T13:00:00,0
22.4,12345,2026-02-19T08:00:00,0
46.4,55555,2026-02-19T13:00:00,413
4.6,12345,2026-02-19T09:00:00,129
41.4,67890,2026-02-19T11:00:00,0
12.1,12345,2026-02-19T15:00:00,0
17.5,44444,2026-02-19T06:00:00,0
4.1,90210,2026-02-19T18:00:00,496
11.5,77001,2026-02-19T14:00:00,0
36.2,33333,2026-02-19T11:00:00,0
24.3,77001,2026-02-19T14:00:00,477
35.9,55555,2026-02-19T18:00:00,0
50.4,90210,2026-02-19T13:00:00,145
24.4,11111,2026-02-19T15:00:00,585
31.2,44444,2026-02-19T15:00:00,0
28,55555,2026-02-19T13:00:00,720
21.6,44444,2026-02-19T10:00:00,0
13.5,44444,2026-02-19T10:00:00,758
43.9,77001,2026-02-19T17:00:00,947
16.6,55555,2026-02-19T18:00:00,0
32.3,33333,2026-02-19T18:00:00,0
38.5,55555,2026-02-19T13:00:00,640
32.3,44444,2026-02-19T10:00:00,94
31.1,44444,2026-02-19T13:00:00,639
44.9,67890,2026-02-19T18:00:00,100
2.6,33333,2026-02-19T13:00:00,398
44.3,44444,2026-02-19T13:00:00,624
43.3,33333,2026-02-19T10:00:00,12
49.2,44444,2026-02-19T16:00:00,0
26.4,77001,2026-02-19T11:00:00,746
11.3,22222,2026-02-19T15:00:00,0
27.2,22222,2026-02-19T11:00:00,148
31.8,44444,2026-02-19T12:00:00,733
15.8,44444,2026-02-19T18:00:00,452
47.3,33333,2026-02-19T16:00:00,853
12.6,90210,2026-02-19T18:00:00,0
17.9,11111,2026-02-19T14:00:00,0
25.5,10001,2026-02-19T14:00:00,762
50.3,55555,2026-02-19T18:00:00,48
48.1,67890,2026-02-19T11:00:00,0
32.9,12345,2026-02-19T06:00:00,859
5.2,44444,2026-02-19T14:00:00,0
38.3,11111,2026-02-19T10:00:00,0
25.2,33333,2026-02-19T15:00:00,356
41.9,12345,2026-02-19T11:00:00,0
9,90210,2026-02-19T06:00:00,39
7.5,90210,2026-02-19T13:00:00,986
29.3,10001,2026-02-19T08:00:00,778
7.8,33333,2026-02-19T08:00:00,0
48.7,10001,2026-02-19T16:00:00,144
10.3,55555,2026-02-19T11:00:00,270
28.2,77001,2026-02-19T12:00:00,0
1.7,67890,2026-02-19T15:00:00,0
28.4,90210,2026-02-19T13:00:00,157
49.9,77001,2026-02-19T15:00:00,84
45.8,33333,2026-02-19T14:00:00,847
21,33333,2026-02-19T18:00:00,398
1.8,44444,2026-02-19T13:00:00,943
38.5,12345,2026-02-19T15:00:00,225
13.4,77001,2026-02-19T17:00:00,860
34.4,55555,2026-02-19T11:00:00,721
43.6,90210,2026-02-19T06:00:00,62
19.2,77001,2026-02-19T13:00:00,0
19.1,90210,2026-02-19T10:00:00,288
44,90210,2026-02-19T09:00:00,0
13.6,12345,2026-02-19T08:00:00,0
41,11111,2026-02-19T16:00:00,57
26.2,11111,2026-02-19T17:00:00,0
5.8,44444,2026-02-19T09:00:00,916
8,11111,2026-02-19T11:00:00,395
7.7,11111,2026-02-19T11:00:00,286
34.3,10001,2026-02-19T11:00:00,0
17.3,90210,2026-02-19T17:00:00,0
31.3,12345,2026-02-19T16:00:00,48
16.1,90210,2026-02-19T08:00:00,268
7.1,22222,2026-02-19T11:00:00,802
49,33333,2026-02-19T07:00:00,0
44.3,90210,2026-02-19T16:00:00,0
41.7,10001,2026-02-19T11:00:00,108
16.7,10001,2026-02-19T12:00:00,0
45.3,55555,2026-02-19T07:00:00,0
4.2,10001,2026-02-19T15:00:00,171
32.3,22222,2026-02-19T15:00:00,69
2.6,33333,2026-02-19T10:00:00,0
18.3,90210,2026-02-19T17:00:00,0
43.5,55555,2026-02-19T08:00:00,974
48.6,55555,2026-02-19T17:00:00,0
15.4,11111,2026-02-19T18:00:00,258
29.8,12345,2026-02-19T13:00:00,0
39.5,22222,2026-02-19T11:00:00,0
47.3,44444,2026-02-19T07:00:00,560
15,33333,2026-02-19T11:00:00,0
25.1,90210,2026-02-19T18:00:00,0
41.5,55555,2026-02-19T15:00:00,983
1.2,44444,2026-02-19T15:00:00,0
15.9,77001,2026-02-19T10:00:00,840
4.2,22222,2026-02-19T08:00:00,0
5.2,22222,2026-02-19T12:00:00,558
34.2,33333,2026-02-19T14:00:00,0
22.3,55555,2026-02-19T06:00:00,255
15.1,33333,2026-02-19T18:00:00,126
22.3,33333,2026-02-19T07:00:00,0
18,77001,2026-02-19T13:00:00,0
13.4,22222,2026-02-19T17:00:00,0
1,67890,2026-02-19T07:00:00,0
38.4,67890,2026-02-19T07:00:00,81
4.5,55555,2026-02-19T18:00:00,0
13.4,90210,2026-02-19T06:00:00,0
43.4,90210,2026-02-19T15:00:00,0
45.6,11111,2026-02-19T17:00:00,406
3.6,55555,2026-02-19T17:00:00,461
41.3,90210,2026-02-19T09:00:00,792
25.6,33333,2026-02-19T18:00:00,0
42.2,12345,2026-02-19T10:00:00,0
48.6,22222,2026-02-19T11:00:00,807
40.8,33333,2026-02-19T15:00:00,0
22.6,12345,2026-02-19T17:00:00,0
26.4,55555,2026-02-19T07:00:00,252
46.1,10001,2026-02-19T13:00:00,0
11.7,90210,2026-02-19T15:00:00,0
16.2,33333,2026-02-19T11:00:00,0
14.8,77001,2026-02-19T11:00:00,0
29.2,11111,2026-02-19T13:00:00,806
27.6,33333,2026-02-19T18:00:00,0
50.8,55555,2026-02-19T08:00:00,982
4.1,10001,2026-02-19T07:00:00,14
11.2,11111,2026-02-19T07:00:00,0
4.8,12345,2026-02-19T07:00:00,485
31.6,22222,2026-02-19T08:00:00,329
8.9,33333,2026-02-19T12:00:00,457
48.1,55555,2026-02-19T11:00:00,817
13.7,12345,2026-02-19T12:00:00,141
10.9,11111,2026-02-19T14:00:00,0
44.7,12345,2026-02-19T14:00:00,346
28.9,10001,2026-02-19T06:00:00,32
7.9,22222,2026-02-19T15:00:00,0
14.1,33333,2026-02-19T06:00:00,778
48.9,33333,2026-02-19T08:00:00,899
39,12345,2026-02-19T07:00:00,0
14.2,67890,2026-02-19T07:00:00,0
24.8,55555,2026-02-19T13:00:00,644
35.3,90210,2026-02-19T11:00:00,0
50.2,33333,2026-02-19T14:00:00,0
39.3,11111,2026-02-19T13:00:00,53
12.8,55555,2026-02-19T16:00:00,252
2.9,55555,2026-02-19T10:00:00,0
13.9,90210,2026-02-19T06:00:00,416
47.9,44444,2026-02-19T16:00:00,0
21.1,22222,2026-02-19T10:00:00,430
15.7,44444,2026-02-19T08:00:00,0
48,55555,2026-02-19T10:00:00,0
19.5,77001,2026-02-19T13:00:00,90
7.8,11111,2026-02-19T08:00:00,0
21.4,44444,2026-02-19T14:00:00,431
13.7,10001,2026-02-19T16:00:00,763
6.3,22222,2026-02-19T18:00:00,457
47.4,90210,2026-02-19T09:00:00,0
14.3,67890,2026-02-19T12:00:00,825
35.9,90210,2026-02-19T10:00:00,602
10.3,10001,2026-02-19T09:00:00,777
29.6,67890,2026-02-19T08:00:00,966
22.2,90210,2026-02-19T09:00:00,0
17.5,33333,2026-02-19T11:00:00,721
39.1,77001,2026-02-19T13:00:00,586
39.1,33333,2026-02-19T09:00:00,0
5.2,55555,2026-02-19T10:00:00,348
5.7,12345,2026-02-19T13:00:00,0
9.1,77001,2026-02-19T14:00:00,0
19.7,44444,2026-02-19T15:00:00,885
15.9,12345,2026-02-19T14:00:00,0
15.3,12345,2026-02-19T14:00:00,0
14.6,33333,2026-02-19T09:00:00,705
16.3,77001,2026-02-19T09:00:00,0
23.3,10001,2026-02-19T14:00:00,0
18.7,33333,2026-02-19T09:00:00,0
38.5,22222,2026-02-19T16:00:00,922
16.8,22222,2026-02-19T09:00:00,487
42.3,22222,2026-02-19T07:00:00,0
31.3,33333,2026-02-19T06:00:00,0
3.8,22222,2026-02-19T11:00:00,315
19.9,77001,2026-02-19T14:00:00,0
14.4,77001,2026-02-19T13:00:00,777
21.6,77001,2026-02-19T17:00:00,0
22.7,10001,2026-02-19T14:00:00,0
25.6,12345,2026-02-19T09:00:00,403
42.3,90210,2026-02-19T14:00:00,0
39.5,12345,2026-02-19T17:00:00,0
4.2,11111,2026-02-19T13:00:00,0
13.9,55555,2026-02-19T07:00:00,0
40.5,10001,2026-02-19T07:00:00,509
37.1,55555,2026-02-19T17:00:00,0
37.6,33333,2026-02-19T09:00:00,327
49.5,22222,2026-02-19T17:00:00,0
43.3,12345,2026-02-19T08:00:00,332
1.7,22222,2026-02-19T07:00:00,11
19.4,90210,2026-02-19T18:00:00,723
10.4,44444,2026-02-19T11:00:00,0
45.2,11111,2026-02-19T18:00:00,680
15.3,90210,2026-02-19T11:00:00,552
26,11111,2026-02-19T14:00:00,339
8.4,67890,2026-02-19T09:00:00,606
35.4,33333,2026-02-19T17:00:00,0
21.6,33333,2026-02-19T15:00:00,0
29.5,44444,2026-02-19T10:00:00,0
19.4,44444,2026-02-19T08:00:00,22
48.8,90210,2026-02-19T07:00:00,457
35.9,12345,2026-02-19T10:00:00,0
36.3,22222,2026-02-19T15:00:00,758
14,55555,2026-02-19T10:00:00,0
42.4,22222,2026-02-19T06:00:00,0
43.2,10001,2026-02-19T11:00:00,19
27.8,33333,2026-02-19T12:00:00,0
38.7,55555,2026-02-19T08:00:00,435
42.3,22222,2026-02-19T18:00:00,406
19.8,77001,2026-02-19T17:00:00,0
14.5,22222,2026-02-19T17:00:00,0
30.2,22222,2026-02-19T07:00:00,834
32,12345,2026-02-19T11:00:00,998
18.7,33333,2026-02-19T14:00:00,0
34,44444,2026-02-19T17:00:00,0
40,10001,2026-02-19T16:00:00,0
7.9,55555,2026-02-19T16:00:00,123
24.7,77001,2026-02-19T11:00:00,95
11.9,55555,2026-02-19T09:00:00,0
49.8,77001,2026-02-19T16:00:00,0
41.1,33333,2026-02-19T12:00:00,174
3.5,67890,2026-02-19T12:00:00,0
28.1,11111,2026-02-19T15:00:00,173
29.8,77001,2026-02-19T18:00:00,627
16.3,55555,2026-02-19T10:00:00,593
39.4,90210,2026-02-19T07:00:00,440
22.3,44444,2026-02-19T14:00:00,332
4.2,33333,2026-02-19T10:00:00,0
47,11111,2026-02-19T16:00:00,5
16.7,67890,2026-02-19T08:00:00,0
32.9,11111,2026-02-19T18:00:00,461
31.4,10001,2026-02-19T09:00:00,692
4.2,11111,2026-02-19T06:00:00,0
15.7,33333,2026-02-19T17:00:00,382
18,12345,2026-02-19T16:00:00,394
25.2,22222,2026-02-19T14:00:00,691
47.9,77001,2026-02-19T18:00:00,0
24.1,11111,2026-02-19T10:00:00,780
30.8,10001,2026-02-19T13:00:00,2
41,12345,2026-02-19T16:00:00,0
24.5,67890,2026-02-19T10:00:00,0
40.4,22222,2026-02-19T07:00:00,0
44,90210,2026-02-19T14:00:00,734
21.6,33333,2026-02-19T16:00:00,0
50.9,33333,2026-02-19T15:00:00,0
43.6,22222,2026-02-19T16:00:00,256
46.4,12345,2026-02-19T14:00:00,0
26,11111,2026-02-19T16:00:00,0
38.6,12345,2026-02-19T15:00:00,0
6.4,55555,2026-02-19T09:00:00,242
1.2,22222,2026-02-19T06:00:00,75
6.4,67890,2026-02-19T18:00:00,0
45.2,55555,2026-02-19T09:00:00,150
33.1,55555,2026-02-19T08:00:00,399
16.5,11111,2026-02-19T16:00:00,0
30.3,22222,2026-02-19T12:00:00,259
18.9,22222,2026-02-19T10:00:00,0
27.3,44444,2026-02-19T15:00:00,147
15.6,10001,2026-02-19T11:00:00,963
40.1,12345,2026-02-19T16:00:00,409
5.6,44444,2026-02-19T09:00:00,869
36.8,10001,2026-02-19T09:00:00,826
34.1,90210,2026-02-19T17:00:00,841
22.8,90210,2026-02-19T10:00:00,330
25.3,90210,2026-02-19T15:00:00,0
43.6,12345,2026-02-19T08:00:00,0
2.5,11111,2026-02-19T11:00:00,0
16.2,44444,2026-02-19T06:00:00,599
5.8,90210,2026-02-19T10:00:00,0
12.1,33333,2026-02-19T06:00:00,0
42.3,55555,2026-02-19T07:00:00,977
37.7,22222,2026-02-19T13:00:00,680
14,55555,2026-02-19T15:00:00,542
7.3,22222,2026-02-19T13:00:00,118
9.1,90210,2026-02-19T15:00:00,661
14.4,11111,2026-02-19T15:00:00,608
14.2,55555,2026-02-19T15:00:00,0
26.8,90210,2026-02-19T08:00:00,173
3.5,77001,2026-02-19T18:00:00,405
6.7,90210,2026-02-19T16:00:00,961
23.6,33333,2026-02-19T13:00:00,0
19.5,12345,2026-02-19T13:00:00,752
22.8,10001,2026-02-19T09:00:00,314
35.4,67890,2026-02-19T11:00:00,348
48.6,10001,2026-02-19T06:00:00,0
38.6,10001,2026-02-19T11:00:00,0
23,10001,2026-02-19T12:00:00,1
11.4,90210,2026-02-19T11:00:00,0
17,77001,2026-02-19T17:00:00,54
35.4,55555,2026-02-19T07:00:00,431
12.1,90210,2026-02-19T13:00:00,0
36.1,12345,2026-02-19T08:00:00,0
15,11111,2026-02-19T17:00:00,0
20.3,12345,2026-02-19T16:00:00,0
37.7,33333,2026-02-19T12:00:00,0
6.5,33333,2026-02-19T12:00:00,258
22.5,55555,2026-02-19T06:00:00,0
27.3,11111,2026-02-19T15:00:00,493
38,22222,2026-02-19T13:00:00,0
51,22222,2026-02-19T12:00:00,483
49.1,44444,2026-02-19T13:00:00,894
9.8,10001,2026-02-19T17:00:00,0
25.8,90210,2026-02-19T08:00:00,0
32.4,67890,2026-02-19T15:00:00,0
43.3,90210,2026-02-19T16:00:00,346
40.7,33333,2026-02-19T16:00:00,0
14.6,44444,2026-02-19T12:00:00,5
24.1,55555,2026-02-19T10:00:00,162
48.5,33333,2026-02-19T15:00:00,0
43.6,44444,2026-02-19T07:00:00,0
31.8,11111,2026-02-19T08:00:00,0
27.8,67890,2026-02-19T07:00:00,748
49.8,77001,2026-02-19T15:00:00,0
5.3,10001,2026-02-19T06:00:00,0
13,67890,2026-02-19T09:00:00,0
39.6,22222,2026-02-19T11:00:00,0
50.2,77001,2026-02-19T10:00:00,0
41.4,22222,2026-02-19T09:00:00,0
45,67890,2026-02-19T16:00:00,454
45.9,55555,2026-02-19T15:00:00,547
29.4,10001,2026-02-19T07:00:00,863
11.1,10001,2026-02-19T09:00:00,139
32,55555,2026-02-19T06:00:00,0
11.6,10001,2026-02-19T09:00:00,0
47.1,33333,2026-02-19T17:00:00,520
2,55555,2026-02-19T10:00:00,0
49.7,22222,2026-02-19T07:00:00,272
29.1,67890,2026-02-19T07:00:00,0
17.8,67890,2026-02-19T06:00:00,797
9.5,55555,2026-02-19T14:00:00,0
37.3,10001,2026-02-19T08:00:00,369
18.2,44444,2026-02-19T06:00:00,460
6.5,67890,2026-02-19T17:00:00,31
24.7,10001,2026-02-19T10:00:00,0
36.6,12345,2026-02-19T18:00:00,0
11.4,67890,2026-02-19T11:00:00,0
41,90210,2026-02-19T08:00:00,961
20.9,22222,2026-02-19T14:00:00,749
39.8,33333,2026-02-19T13:00:00,666
4,44444,2026-02-19T12:00:00,0
7,77001,2026-02-19T14:00:00,0
24.3,22222,2026-02-19T13:00:00,0
33.7,77001,2026-02-19T09:00:00,725
29.8,33333,2026-02-19T10:00:00,0
28.4,11111,2026-02-19T11:00:00,471
37.6,10001,2026-02-19T16:00:00,0
34.3,55555,2026-02-19T17:00:00,0
48.3,67890,2026-02-19T11:00:00,393
15.6,11111,2026-02-19T16:00:00,0
3.9,33333,2026-02-19T15:00:00,705
5.1,10001,2026-02-19T09:00:00,0
8.4,90210,2026-02-19T18:00:00,0
2.2,33333,2026-02-19T11:00:00,0
7.5,67890,2026-02-19T12:00:00,0
45.2,22222,2026-02-19T18:00:00,841
44.8,10001,2026-02-19T16:00:00,0
9,10001,2026-02-19T17:00:00,0
32.1,33333,2026-02-19T17:00:00,367
47.1,22222,2026-02-19T14:00:00,808
47.3,12345,2026-02-19T14:00:00,0
20.6,12345,2026-02-19T18:00:00,0
39,55555,2026-02-19T16:00:00,0
22.5,55555,2026-02-19T17:00:00,0
14.2,67890,2026-02-19T11:00:00,30
4.5,22222,2026-02-19T17:00:00,0
34,10001,2026-02-19T15:00:00,626
47.2,55555,2026-02-19T15:00:00,0
44.4,33333,2026-02-19T18:00:00,711
5,22222,2026-02-19T15:00:00,952
7.5,22222,2026-02-19T16:00:00,889
32.5,12345,2026-02-19T13:00:00,0
